edgeId,edge_coordinates,connected_edges
24178351#0,"[(24.446320794301737, 54.3922358500942), (24.44633162908697, 54.39226747265457), (24.446349273425692, 54.39237990016168), (24.446349290662898, 54.39245936605601)]","['398649474#0', '24178351#1']"
24178351#1,"[(24.446346036508867, 54.39251139175517), (24.446338675949267, 54.392581741765106), (24.446304058132924, 54.392709639856164)]","['24178351#0', '398394924#1']"
24178352#0,"[(24.44685145655338, 54.393326906199064), (24.446900041608718, 54.39330756777312), (24.44697996632881, 54.393299908526366), (24.4469902620296, 54.39330028818162)]","['24156191#2', '24178352#1']"
24178352#1,"[(24.447035421475018, 54.39330211933), (24.447055743905388, 54.393302982770265), (24.447130022872727, 54.39332906026415), (24.44718328494361, 54.39335064065063), (24.447225035777787, 54.39337462704608)]","['24178352#0', '398394920#1']"
24178353,"[(24.44784666936556, 54.39269691074229), (24.447840551671568, 54.39267189508459), (24.447824469607497, 54.392498305445805), (24.447847350775206, 54.3923963805637), (24.44789911738294, 54.39227374757816)]","['119131763#7', '398394926#1']"
24178356,"[(24.449790841800347, 54.38971803190945), (24.449695002438773, 54.38973701524221), (24.44951479481379, 54.389749356960714), (24.449440476242817, 54.38973407830778), (24.449385214369027, 54.38970386400691), (24.44937508550649, 54.38969746688837)]","['399098934#12', '80576090#0']"
24178363#0,"[(24.44832677030145, 54.38295001434527), (24.4483488495544, 54.38295330465843)]","['398649476#6', '24178363#1']"
24178363#1,"[(24.448393071683853, 54.382973982980886), (24.448432805088185, 54.38300126131324), (24.448761971460122, 54.38343941720564)]","['24178363#0', '24178363#2']"
24178363#10,"[(24.451532963282013, 54.38698479599843), (24.4517203906265, 54.387222984455704)]","['-24178369#8', '24178363#9', '24178369#7', '24178363#11']"
24178363#11,"[(24.451748443925176, 54.38725859079346), (24.451755455970584, 54.387267418458784)]","['24178363#10', '402014046', '24178363#12']"
24178363#12,"[(24.451801709273507, 54.387327298611744), (24.451866237443912, 54.38741056370745), (24.451899774244463, 54.3874657764736), (24.451937972595047, 54.3875556979971), (24.45193493547391, 54.387646273139595), (24.45192987514116, 54.387687689883215)]","['24178363#11', '399098934#12']"
24178363#2,"[(24.448803730051768, 54.38349504922158), (24.44919714064385, 54.38401568639907)]","['170066465', '24178363#1', '24178366#0', '24178363#3']"
24178363#3,"[(24.449280070042366, 54.384124301308354), (24.449356421232018, 54.384223094118)]","['-24178366#0', '24178363#2', '683980577#0', '24178363#4']"
24178363#4,"[(24.449409503902608, 54.384291605928354), (24.449446985725338, 54.38434003079636), (24.449538499947348, 54.38445448314095)]","['24178363#3', '24178363#5']"
24178363#5,"[(24.449568942248444, 54.38449250378843), (24.450061375396693, 54.385107923535735)]","['24178363#4', '-683980569#1', '24178363#6']"
24178363#6,"[(24.450117108302614, 54.3851783532954), (24.45051284563302, 54.38568248757045)]","['24178363#5', '683980569#1', '-683980565', '24178363#7']"
24178363#7,"[(24.450579386768812, 54.38576728695262), (24.450580585245664, 54.385768741154614)]","['24178363#6', '683980565', '24178367#0', '24178363#8']"
24178363#8,"[(24.450653323037486, 54.38586218777848), (24.45091189106682, 54.38619533182571)]","['-24178367#0', '24178363#7', '-479334666#2', '24178363#9']"
24178363#9,"[(24.45099597497697, 54.386302939855725), (24.451448062664994, 54.38687690811737)]","['24178363#8', '479334666#2', '-24178369#7', '24178363#10', '24178369#8']"
24178364#0,"[(24.45215135423878, 54.38747320607597), (24.452113378693532, 54.387469256947874), (24.452044696018852, 54.38743281263028), (24.45197270479046, 54.38734595470208), (24.45191190630914, 54.387259161706346)]","['399098934#10', '479334664', '24178364#1']"
24178364#1,"[(24.45186989005918, 54.38719899690542), (24.451868780112857, 54.387197442250894)]","['24178364#0', '24178364#2']"
24178364#10,"[(24.448733945990856, 54.38316048014933), (24.448536736403934, 54.38291540676799)]","['24178364#9', '683980579', '24178364#11']"
24178364#11,"[(24.448506824135823, 54.3828611077637), (24.448500800667187, 54.38284683744245)]","['24178364#10', '24178364#12']"
24178364#12,"[(24.448486251633604, 54.38278847437123), (24.448486222616257, 54.38278679886393)]","['24178364#11', '398649476#8']"
24178364#2,"[(24.45182150522807, 54.387130681386004), (24.451639822931647, 54.38688547253491)]","['24178364#1', '479334663', '24178369#9', '24178364#3', '-24178369#8']"
24178364#3,"[(24.4515560235547, 54.38677342083503), (24.451110890771773, 54.38618412505766)]","['-24178369#9', '24178364#2', '24178369#8', '24178388', '24178364#4']"
24178364#4,"[(24.451027629014156, 54.386077091631506), (24.45076093893767, 54.3857440166534)]","['-24178388', '24178364#3', '-376696643#19', '24178364#5']"
24178364#5,"[(24.450675336228773, 54.38563732793695), (24.4501611619399, 54.38499632283998)]","['24178364#4', '376696643#19', '-118261912#1', '24178364#6']"
24178364#6,"[(24.45010532849728, 54.38492530364559), (24.44991448454454, 54.3846776284696)]","['118261912#1', '24178364#5', '683980579', '24178364#7']"
24178364#7,"[(24.449870371992496, 54.38462155121466), (24.449656902850712, 54.38434949822141)]","['24178364#6', '24178364#8']"
24178364#8,"[(24.449627643649674, 54.38431204472204), (24.448913275288973, 54.38339458533172)]","['24178364#7', '24178364#9', '170066465']"
24178364#9,"[(24.448875782961917, 54.38334556960511), (24.448776058741867, 54.38321571035609)]","['24178364#8', '24178364#10']"
24206721#0,"[(24.45576536996912, 54.39199272644264), (24.455763020755498, 54.39199257763724), (24.45571251291326, 54.39196324914424), (24.45547980164296, 54.391699948573724)]","['434473839#10', '-24206720#12', '24206721#1', '263351298']"
24206721#1,"[(24.455389953508735, 54.39159284628759), (24.454131601188458, 54.390019096228386)]","['-263351298', '24206720#12', '24206721#0', '24206721#2', '-204778218']"
24206721#2,"[(24.454077056725758, 54.38994942638467), (24.453984534836692, 54.38982867636844)]","['204778218', '24206721#1', '24206734#0', '24206721#3']"
24206721#3,"[(24.45393816661067, 54.38976731764733), (24.4538029533536, 54.38958907746435)]","['24206721#2', '24206721#4']"
24206721#4,"[(24.453724710433562, 54.38948509118125), (24.452822821216873, 54.38836408821329)]","['24206721#3', '479181262#1', '-24206736#1', '24206721#5']"
24206721#5,"[(24.45273645237057, 54.38825997532633), (24.452611084292258, 54.38811357973028)]","['24206721#4', '24206736#1', '24206721#6', '418942795']"
24206721#6,"[(24.45257417209772, 54.38806671834375), (24.452475627739638, 54.387942250077444)]","['24206721#5', '24206739#0', '24206721#7']"
24206721#7,"[(24.452401324295458, 54.38781038004895), (24.452398687292312, 54.38780402559247), (24.452396485736266, 54.38777587202948)]","['24206721#6', '24156174#2']"
24206722#0,"[(24.452257423248934, 54.38791805962743), (24.45231538622631, 54.387950485706), (24.452393211071236, 54.38804067480593)]","['24156174#0', '24206722#1']"
24206722#1,"[(24.452454936730533, 54.388113251296794), (24.452486038772204, 54.38815293626286)]","['24206722#0', '263351300#1', '24206722#2']"
24206722#2,"[(24.452526280751666, 54.38820446166269), (24.452654110517347, 54.3883679625542)]","['24206722#1', '418942795', '-472699953#2', '24206722#3']"
24206722#3,"[(24.45270920204641, 54.38843791544366), (24.453981695944748, 54.39004052595975)]","['24206722#2', '472699953#2', '24206722#4', '204778218']"
24206722#4,"[(24.454036786812644, 54.39011048033171), (24.45484551554673, 54.39114754584951)]","['-204778218', '24206722#3', '24206722#5']"
24206722#5,"[(24.45488168471109, 54.391193241100886), (24.45530439516339, 54.39171854969951)]","['24206722#4', '418942797#4', '24206722#6', '-263351298']"
24206722#6,"[(24.455358394178248, 54.391788035033244), (24.455451428784365, 54.391912425476704)]","['24206722#5', '263351298', '418942797#0', '24206722#7']"
24206722#7,"[(24.455486402727814, 54.391956863984056), (24.45551617102196, 54.39199253571099), (24.455558180085767, 54.39209421484769), (24.45556679289347, 54.39218534152812)]","['24206722#6', '434473839#12']"
24206851#0,"[(24.468472785561197, 54.37998212441188), (24.46845278777053, 54.379994766166305), (24.468041113944388, 54.38030572687152), (24.466989076651743, 54.38088188791466)]","['418671534#6', '24206852#0', '24206851#1']"
24206851#1,"[(24.466854790398997, 54.38096592121056), (24.46664196281881, 54.38110088427338), (24.466418259394217, 54.38131653644497)]","['24206851#0', '24206851#2']"
24206851#2,"[(24.466408493848267, 54.38132590913487), (24.466407162726632, 54.381327218593)]","['24206851#1', '399098916']"
24206852#0,"[(24.466842054830146, 54.380934136970666), (24.466630826378257, 54.38100516859062), (24.466508102926635, 54.381027331840244), (24.46639031973483, 54.38102730449624)]","['24206851#0', '24206852#1']"
24206852#1,"[(24.466348895241644, 54.38102224539059), (24.46623404654076, 54.38099365950048), (24.466108239754252, 54.380936901302725)]","['24206852#0', '418671591#2']"
24206853#0,"[(24.465892329508332, 54.38127407377378), (24.465905011365297, 54.381318382159066), (24.465930539844127, 54.38145294691668), (24.465937221913627, 54.381562460837614)]","['434371584#7', '24206853#1']"
24206853#1,"[(24.46593630912321, 54.38160872692364), (24.46591682035285, 54.38175487295347), (24.46589321067386, 54.3818299091805)]","['24206853#0', '399098918#2']"
24206854,"[(24.466504606481937, 54.382412311962675), (24.467140614258707, 54.38179675185494)]","['434473835#3', '24206855#0']"
24206855#0,"[(24.467142611801144, 54.381794836948835), (24.468876550323355, 54.3801816829547)]","['24206854', '24206855#1']"
24206855#1,"[(24.469061265881972, 54.38001310461098), (24.470289854573917, 54.37884897124601)]","['24206855#0', '418671558#2', '24206855#2']"
24206855#2,"[(24.470342803187634, 54.378799086221), (24.472394386155408, 54.37682918643398)]","['24206855#1', '388052229', '173736138#0', '24206855#3']"
24206855#3,"[(24.472464758953024, 54.37676015259568), (24.472789439951445, 54.37644394661444)]","['24206855#2', '24206855#4', '684267158#0']"
24206855#4,"[(24.472922199060147, 54.3763254457962), (24.473235937874147, 54.37604962484337)]","['24206855#3', '24207103#0', '24206855#5']"
24206855#5,"[(24.47328067455895, 54.376002471730594), (24.47349729284599, 54.375787339231536)]","['24206855#4', '24206855#6']"
24206855#6,"[(24.473496848158554, 54.37578382301716), (24.473498527403144, 54.37578307322984)]","['24206855#5', '24206855#7']"
24206855#7,"[(24.4735360620755, 54.3757564577284), (24.473540813580772, 54.37575202014705)]","['24206855#6', '418671511']"
24206856,"[(24.46693737464008, 54.381556801770344), (24.466303723106734, 54.382146822892615)]","['418671534#7', '24206857#0']"
24206857#0,"[(24.466301725130982, 54.382148713136296), (24.464788649824335, 54.383594512332586)]","['24206856', '24206857#1']"
24206857#1,"[(24.464677972211902, 54.383699894547185), (24.464125704849938, 54.38423166066136)]","['24206857#0', '399098918#2', '24206857#2']"
24206857#2,"[(24.4639995175638, 54.38435222728015), (24.463519979221203, 54.384819327266506)]","['24206857#1', '472783428', '24206857#3']"
24206857#3,"[(24.463483559957815, 54.38485313765234), (24.462836178471854, 54.38542775533052)]","['24206857#2', '521860260#0', '24206857#4']"
24206857#4,"[(24.46263820355722, 54.385616780434766), (24.46168393527926, 54.38651262329517)]","['24206857#3', '24206954#0', '24206857#5']"
24206857#5,"[(24.461571897393863, 54.38662690278068), (24.46149382689184, 54.386703873637146)]","['24206857#4', '24206857#6']"
24206857#6,"[(24.46149382689184, 54.386703873637146), (24.461474902714077, 54.386722530941704)]","['24206857#5', '24206857#7']"
24206857#7,"[(24.4614501656922, 54.386746904089485), (24.461448834513636, 54.38674821343865)]","['24206857#6', '434473836']"
24206858#0,"[(24.4640871608962, 54.38481256120907), (24.46408876954857, 54.38481164050374)]","['434473835#2', '132911564#0', '24206858#1']"
24206858#1,"[(24.464165218010706, 54.38474922019415), (24.464266791841947, 54.384667939650555), (24.46491262190599, 54.38413424055649), (24.46534184625157, 54.38382510696717), (24.466355989479762, 54.383139517816424), (24.466763244546282, 54.382890884153596)]","['24206858#0', '106895779#0', '24206858#2']"
24206858#2,"[(24.466826576138153, 54.38283721292955), (24.467002754740694, 54.382675794454464)]","['24206858#1', '24206858#3']"
24206858#3,"[(24.467026733939285, 54.382653308626416), (24.467028065072963, 54.38265199917404)]","['24206858#2', '418671572#0', '418671566']"
24206949#0,"[(24.464823080927356, 54.3793331303399), (24.464858862103195, 54.37929383392875), (24.464992930194903, 54.379218087996385)]","['418671591#4', '106895760#0', '24206949#1']"
24206949#1,"[(24.465050587066337, 54.379191157371686), (24.46508937460605, 54.37917428104617)]","['24206949#0', '24206949#2', '-478929225']"
24206949#2,"[(24.465197805755714, 54.37911908312123), (24.465263789144295, 54.37907787907584)]","['106895760#7', '24206949#1', '478929225', '478941383', '24206949#3']"
24206949#3,"[(24.46532955017384, 54.37904466679712), (24.465578368992173, 54.37892424071245)]","['24206949#2', '24206949#4']"
24206949#4,"[(24.465601643796752, 54.378913207580524), (24.46560334604914, 54.378912482066454)]","['24206949#3', '24206949#5']"
24206949#5,"[(24.465649747710366, 54.378892292400195), (24.465734808997468, 54.378853059468675)]","['24206949#4', '478941383', '478912739#0', '24206949#6']"
24206949#6,"[(24.465798163028726, 54.378821573121876), (24.466055732709087, 54.37869573856278), (24.466611977878845, 54.37843079145273)]","['24206949#5', '478912740', '24206949#7', '-478912738']"
24206949#7,"[(24.466694970714055, 54.378391995145655), (24.46786375016157, 54.37785530524624)]","['-478912740', '24206949#6', '478912738', '478919158']"
24206952#0,"[(24.4581763623467, 54.382702536940435), (24.45815068988232, 54.3826429204996), (24.45813000384516, 54.38255855046461), (24.458126156988882, 54.38250321566045)]","['434473837#11', '24206952#1']"
24206952#1,"[(24.458126836621272, 54.382448674677754), (24.458132730369083, 54.38239294125023), (24.458133385547406, 54.382389082222055)]","['24206952#0', '415113203#2']"
24206953#0,"[(24.457849812558862, 54.38210308486248), (24.457848011519665, 54.38210331931366)]","['479321517#3', '24206953#1']"
24206953#1,"[(24.45781186093065, 54.38210051728493), (24.457810047935727, 54.38210006177086)]","['24206953#0', '415113200#2']"
24206954#0,"[(24.461519698925542, 54.38655077298058), (24.461476147094476, 54.38656360349188), (24.46141143346097, 54.386568785371715)]","['24206857#4', '24206954#1']"
24206954#1,"[(24.4613629223003, 54.38656623731695), (24.461337926951767, 54.38656133018901)]","['24206954#0', '434473837#3']"
24206955#0,"[(24.4679739269133, 54.377723942068876), (24.467972638128682, 54.377722489637314)]","['478919158', '24206955#1', '24206966#3']"
24206955#1,"[(24.46787756620687, 54.377608791211664), (24.46707159982933, 54.37661662945144)]","['24206955#0', '24206966#2', '478917780#3']"
24206966#0,"[(24.46903182724973, 54.377127610896686), (24.469022019212296, 54.37713451972853)]","['478919726', '-24206974', '24206966#1']"
24206966#1,"[(24.468900692283217, 54.3772058648824), (24.468784186658027, 54.377263797581875), (24.468579746884828, 54.37736181363929)]","['24206966#0', '24206974', '-24206972#1', '24206966#2']"
24206966#10,"[(24.465539609505754, 54.37882830946458), (24.465151681516442, 54.37901482439185)]","['24206966#9', '-24206987', '24206966#11', '478929225']"
24206966#11,"[(24.46505991333798, 54.37905764716621), (24.464747936886486, 54.37920008793258), (24.464715223758716, 54.379202934799864)]","['-478929225', '24206966#10', '24206987', '418671591#6']"
24206966#2,"[(24.468458553035163, 54.3774200404215), (24.467996689367396, 54.37764182163525)]","['24206966#1', '24206972#1', '24206955#1', '24206966#3']"
24206966#3,"[(24.46789298088415, 54.37769347304261), (24.467891370574378, 54.377694295292784)]","['24206955#0', '24206966#2', '24206966#4', '478917779#3']"
24206966#4,"[(24.467774692299095, 54.37774749732917), (24.46777299005511, 54.37774822287376)]","['24206966#3', '478917779#2', '24206966#5']"
24206966#5,"[(24.467702748646932, 54.377778078106886), (24.467394806641508, 54.37791886422886)]","['24206966#4', '478932705', '24206983', '24206966#6']"
24206966#6,"[(24.467316582072954, 54.37795677341398), (24.466679329871095, 54.378276059777065)]","['-24206983', '24206966#5', '24206985', '24206966#7', '478912738']"
24206966#7,"[(24.466556469176336, 54.378337080220135), (24.466282904085, 54.37847212222214)]","['-24206985', '-478912738', '24206966#6', '-473176609', '24206966#8']"
24206966#8,"[(24.46616117852593, 54.378530949354555), (24.46588663397058, 54.37866157337572)]","['24206966#7', '473176609', '24206986', '24206966#9']"
24206966#9,"[(24.465806611519238, 54.378699913243985), (24.465580962119734, 54.378808421585454)]","['-24206986', '24206966#8', '24206966#10']"
24206967#0,"[(24.472327618607668, 54.373993703440405), (24.472326563370846, 54.373995303149464)]","['434371436#5', '24206967#1']"
24206967#1,"[(24.47229229324738, 54.374043545877704), (24.471635292478016, 54.37464353218531), (24.471276648933987, 54.37497225282914)]","['24206967#0', '298218412#3', '184873476#0', '330967455#0']"
24207103#0,"[(24.473322400039287, 54.376075492390946), (24.473340737400424, 54.37607639398231), (24.473419749230736, 54.376021503602836), (24.47349964496314, 54.37598631755821), (24.473548931954056, 54.37597119335074), (24.473591032572926, 54.375963219789334), (24.47360706812899, 54.3759615065404)]","['24206855#4', '24207103#1']"
24207103#1,"[(24.473653906547923, 54.37595609725805), (24.47367803811254, 54.37595283546067), (24.47368101886857, 54.37595297085248)]","['24207103#0', '418671520#2']"
24207129#0,"[(24.4766509401226, 54.364273221530595), (24.47647482367642, 54.364452427323535)]","['481635435#2', '24207129#1', '24207133']"
24207129#1,"[(24.476394825796014, 54.36453328252965), (24.47617948323653, 54.364750680087695), (24.47602829355065, 54.36491536183803), (24.475957216566695, 54.36502127605438), (24.475909764488893, 54.36512078107604)]","['24207129#0', '24207129#2']"
24207129#2,"[(24.475909764488893, 54.36512078107604), (24.475892405046068, 54.36517074608029)]","['24207129#1', '24207129#3']"
24207129#3,"[(24.475873621138987, 54.3652321800878), (24.475873112493815, 54.365234064369126)]","['24207129#2', '480740269#0']"
24207130#0,"[(24.475260475752293, 54.36611917097909), (24.475261621117934, 54.36611756929424)]","['434371438#10', '79293362#0', '24207130#1']"
24207130#1,"[(24.475285949972402, 54.36603767790921), (24.47530754886601, 54.3659513347857), (24.475298315277485, 54.36587214233165), (24.475257616748582, 54.36579488720251), (24.47518909005693, 54.365752135106256), (24.475142812450837, 54.365748266831844), (24.475125071517667, 54.36575051000104)]","['24207130#0', '413011795#3']"
24207132#0,"[(24.475775279348046, 54.36482044052123), (24.475722572151163, 54.3648256805094), (24.475679291738206, 54.36482806148308)]","['481635435#3', '24207132#1']"
24207132#1,"[(24.47563112637292, 54.364824627343495), (24.47558132058106, 54.36481511326779), (24.475565619396406, 54.36481011520629)]","['24207132#0', '473445038#2']"
24207133,"[(24.47642147076541, 54.36455511299608), (24.476340869001085, 54.36473065142138), (24.476335080397067, 54.36478165755468), (24.4763408777457, 54.364824237209305), (24.47636613899504, 54.36487538533003), (24.47641261463904, 54.364900944539684), (24.47646344899113, 54.36491250817364), (24.476531696413492, 54.36489787174831)]","['24207129#0', '413011798#3']"
24207134#0,"[(24.476251995517494, 54.36572526352395), (24.476245720934585, 54.36563979611101)]","['418671383#1', '24207134#1']"
24207134#1,"[(24.47624555945135, 54.365583983202164), (24.4762540798333, 54.36547227179381), (24.476269644156364, 54.36540735453846)]","['24207134#0', '413011798#2']"
24207135#0,"[(24.47572056136178, 54.36598809624303), (24.475775329974418, 54.365982024886755), (24.475809929470955, 54.365983868306806)]","['434371438#11', '24207135#1']"
24207135#1,"[(24.475860400250724, 54.36599011471271), (24.475914206701734, 54.36600132102207), (24.47597824955803, 54.36602503550818)]","['24207135#0', '413011796#2']"
258488370#0,"[(24.46748177430729, 54.382667463359205), (24.46747213599538, 54.38264251735168), (24.467456264071835, 54.38248181663508)]","['112672265#8', '258488370#1']"
258488370#1,"[(24.467456467260874, 54.382436254921), (24.46747060363554, 54.38230412178791), (24.467495013912888, 54.38220757126139)]","['258488370#0', '418671558#2']"
258497376,"[(24.472297379808058, 54.39258335503725), (24.47229889658417, 54.39258233763696)]","['817157483#1', '677205943']"
26485468#0,"[(24.480256535179514, 54.35622794844071), (24.479978130532878, 54.355910007120215)]",['26485468#1']
26485468#1,"[(24.479975549108495, 54.355906905329974), (24.479889925222313, 54.35580021628169)]","['26485468#0', '26485468#2']"
26485468#2,"[(24.47988817132032, 54.35579798475076), (24.47982079607915, 54.35571290597031), (24.479731728587826, 54.35560027352878), (24.478944709604963, 54.35460551383909), (24.478733177441907, 54.354338940241796), (24.478030240901976, 54.353455943746894), (24.47788201872049, 54.353269111297195), (24.477823687785737, 54.35319548261295)]","['26485468#1', '26485468#3']"
26485468#3,"[(24.47782193385094, 54.35319325115569), (24.477710136170234, 54.35305575376804)]","['26485468#2', '26485468#4']"
26485468#4,"[(24.477708474182297, 54.35305361900607), (24.477642934869344, 54.35297037844058), (24.477561611796453, 54.35286715350772), (24.477081041192005, 54.35226658659368)]","['26485468#3', '172827114#0', '26485468#5']"
26485468#5,"[(24.476999339214956, 54.3521675123482), (24.47659510862776, 54.35167432157732)]","['26485468#4', '483075218#0']"
267184571,"[(24.475598586616908, 54.36531837925038), (24.475599696793942, 54.36531993396102)]","['682792055#5', '480740267', '480740264#0']"
282215701,"[(24.474384483645316, 54.34916672816682), (24.474387070378256, 54.349170125409806)]","['282215708', '682787937#1', '682787936#0', '282215715']"
282215705,"[(24.474504741346177, 54.34906105852469), (24.474474916644283, 54.349022731450766)]","['282215715', '682787935#1', '282215708']"
282215708,"[(24.474412569556257, 54.34901861446669), (24.47439181800941, 54.34903956090254)]","['282215705', '682787932#0', '282215701']"
282215711#0,"[(24.47412067028785, 54.34930538435582), (24.474014184905247, 54.34940898978491)]","['682787932#1', '91663021#1', '480651887', '282215711#1']"
282215711#1,"[(24.4739616916276, 54.349462354531596), (24.473830701310195, 54.3495941833102)]","['282215711#0', '282215711#2']"
282215711#10,"[(24.469154565358416, 54.3541021483742), (24.468673780581927, 54.35456047886305)]","['282215711#9', '480517467', '-473081201#1', '282215711#11']"
282215711#11,"[(24.46861013699119, 54.35462146792873), (24.46805840971483, 54.35515188101499)]","['282215711#10', '473081201#1', '91663024#0', '682786733#0']"
282215711#2,"[(24.473770419099587, 54.34965629039608), (24.472894365999867, 54.350455553710255)]","['282215711#1', '480651886', '24175570#0', '282215711#3']"
282215711#3,"[(24.47281808439386, 54.35052657425419), (24.471926067550555, 54.35137309837221)]","['282215711#2', '-693117196#2', '282215711#4']"
282215711#4,"[(24.47183042306206, 54.35146710514591), (24.47154670532324, 54.35175753781505)]","['282215711#3', '693117196#2', '170334253#0', '282215711#5']"
282215711#5,"[(24.471450335321897, 54.35185136197055), (24.47039883078082, 54.35289349425656)]","['282215711#4', '282215711#6']"
282215711#6,"[(24.47033762742765, 54.352954631192176), (24.470056204718848, 54.353226864743746)]","['170334255#2', '282215711#5', '170334231#0', '282215711#7']"
282215711#7,"[(24.469811080465732, 54.35346402156742), (24.469668906756663, 54.353601696376835)]","['282215711#6', '282215711#8']"
282215711#8,"[(24.46962293425694, 54.35364614482986), (24.46936094880588, 54.353899725973754)]","['170334257#2', '282215711#7', '480517468', '282215711#9']"
282215711#9,"[(24.46927080107789, 54.353988190377535), (24.469209579911592, 54.354048340495915)]","['282215711#8', '282215711#10']"
282215715,"[(24.474496852041476, 54.34918232074844), (24.474499072935, 54.349180301941544)]","['282215701', '682787930#1', '682787934#0', '282215705']"
282215716#0,"[(24.47457699621969, 54.3494239197702), (24.4750122688488, 54.34998330507127), (24.475160841768396, 54.35016420525466)]","['682787936#1', '91663043#1', '282215716#1']"
282215716#1,"[(24.47521791632322, 54.35023302523762), (24.475900206335805, 54.35109057962364)]","['282215716#0', '483125950', '282215716#2']"
282215716#2,"[(24.475971705950847, 54.35117911703041), (24.476229364832157, 54.35149727511183)]","['282215716#1', '483141535', '483141538', '282215716#3']"
282215716#3,"[(24.476268942548373, 54.35154624668228), (24.47627014134893, 54.35154770079752)]","['282215716#2', '282215716#4']"
282215716#4,"[(24.476310928225818, 54.35159871798671), (24.476526206725655, 54.35186766881789)]","['282215716#3', '483141537', '480534712#0', '282215716#5']"
282215716#5,"[(24.476575855531287, 54.35192481201342), (24.476968622463993, 54.35238708116916)]","['282215716#4', '282215716#6']"
282215716#6,"[(24.477025918422843, 54.352453137281444), (24.477524903258672, 54.35308477771103), (24.477590022512054, 54.35316980214386)]","['282215716#5', '480534713#2', '282215716#7']"
282215716#7,"[(24.477591684498336, 54.35317193690569), (24.477704737884014, 54.35331414156597), (24.477764130669623, 54.353386564633404), (24.478168890866375, 54.35387935998829), (24.478848836645245, 54.354758698946924), (24.479090121152748, 54.355054433565606), (24.47925677754173, 54.35526327048619), (24.479704316432287, 54.35581297303196), (24.479774323551332, 54.35589888432444)]","['282215716#6', '282215716#8']"
282215716#8,"[(24.47977570966349, 54.355900729075124), (24.479860028061598, 54.35601533481661), (24.48005110666967, 54.356247923661364), (24.480968743169136, 54.35733721049071), (24.48117507647587, 54.35756484950552), (24.482161589176865, 54.35862954112568), (24.48237873992386, 54.35886169215315), (24.48238884358065, 54.35887173755648)]",['282215716#7']
282224348#0,"[(24.462019964973443, 54.3616176255162), (24.462406785613144, 54.36207191688175)]","['682791230#4', '90658023#1', '480431441', '282224348#1']"
282224348#1,"[(24.46245580749273, 54.36212956466061), (24.462502615848628, 54.36218449769783)]","['282224348#0', '282224348#2']"
282224348#2,"[(24.462559173532505, 54.362249876852225), (24.463386985520742, 54.363164933962565)]","['282224348#1', '480431439', '282224348#3']"
282224348#3,"[(24.46341873647488, 54.363200066064785), (24.463660682279304, 54.363467471453255)]","['282224348#2', '24177950', '282224348#4']"
282224348#4,"[(24.463711220270813, 54.363524102700005), (24.463738009740172, 54.36355421086391)]","['282224348#3', '282224348#5']"
282224348#5,"[(24.463788455762778, 54.36361074549011), (24.465077331788045, 54.36507719036082)]","['282224348#4', '480437385', '24177937', '282224348#6']"
282224348#6,"[(24.465138302395946, 54.36514208581546), (24.46515503392592, 54.365159585224816)]","['282224348#5', '282224348#7']"
282224348#7,"[(24.465207433367908, 54.36521430552467), (24.465694383415745, 54.36572303656175)]","['282224348#6', '480453537', '90658084#0', '682791889#0']"
282224349,"[(24.46319578045385, 54.349121111408536), (24.46384459695724, 54.348503171735395), (24.464080300923143, 54.34827479432211), (24.464431813894112, 54.34793414288525), (24.464629631244275, 54.347748070236094), (24.466397086711392, 54.346084704075906), (24.466542070805506, 54.34594814962393), (24.466796076713543, 54.34569324759605), (24.466932834625528, 54.34556110492297), (24.46728487790845, 54.34522022956819), (24.468028718090206, 54.34449997050373), (24.468388418448047, 54.34415843533451), (24.468590532560125, 54.34399119324585), (24.4687858064235, 54.34387122900164), (24.469021989545645, 54.34375780109477), (24.46937287009991, 54.343607648609456)]","['682784145#4', '90658016#1']"
282224350,"[(24.456587535864752, 54.35552411427151), (24.456588866749655, 54.35552280467644)]","['480737243#2', '682777333#1', '480737248', '480737247#0']"
282224351,"[(24.45648889162606, 54.355385079295594), (24.45648756074237, 54.35538638889085)]","['479537287#2', '682777338#1', '480737246', '480737245#0']"
282224352,"[(24.45646856665198, 54.35551812001212), (24.456469855621762, 54.35551957207543)]","['480737246', '480737247#2', '682777340#1', '479537286']"
282224353#0,"[(24.449954102983128, 54.3616556259819), (24.449177315496218, 54.36238119394947)]","['121822223#1', '682792323#1', '479380811', '282224353#1']"
282224353#1,"[(24.44911438063788, 54.362441661178046), (24.44909680750754, 54.3624586895721)]","['282224353#0', '282224353#2']"
282224353#10,"[(24.446134220163337, 54.365289534974465), (24.44540732506808, 54.36603078059733), (24.445141382429586, 54.366281507121506)]","['282224353#9', '473137396', '282224353#11']"
282224353#11,"[(24.44513943018223, 54.3662834209467), (24.445028902204697, 54.36638894401057)]","['282224353#10', '282224353#12']"
282224353#12,"[(24.445026859733897, 54.36639085970835), (24.444768467513082, 54.36663985025387), (24.444230608600197, 54.367171589842066), (24.44403666623512, 54.36735377370852), (24.443486366844855, 54.36787097709554), (24.442293422497606, 54.36901376421398), (24.440615484465965, 54.37062088971148), (24.4405131246271, 54.37071884144276), (24.43995236949453, 54.3712687658702), (24.43971828162305, 54.371504218281665), (24.4396608897832, 54.371561899401264)]",['282224353#11']
