edgeId,edge_coordinates,connected_edges
112672265#8,"[(24.468583121484894, 54.38411890365168), (24.467533560716205, 54.38284339599119)]","['112672265#7', '479162042', '258488370#0', '112672265#9']"
112672265#9,"[(24.467426048225555, 54.38271210281312), (24.467283593017115, 54.382538341869484)]","['112672265#8', '112672265#10']"
112672266#0,"[(24.472283508892684, 54.39146136887391), (24.47228258114311, 54.39146513532063), (24.47223432075349, 54.39159205997693)]","['418671572#15', '112672266#1']"
112672266#1,"[(24.472209172454942, 54.391635771252574), (24.472140431151708, 54.39173698549171), (24.472037323198983, 54.39183417474116), (24.47199455914522, 54.39187696711855)]","['112672266#0', '227300453#0']"
112672267#0,"[(24.46727496739349, 54.39559846529089), (24.468255384182584, 54.395099529872944), (24.46889460125107, 54.39474527346725), (24.470195439075226, 54.39394921317334)]","['683402237#0', '112672267#1', '817157481']"
112672267#1,"[(24.470255511363444, 54.393910404512795), (24.47139539808237, 54.39313933755053)]","['112672267#0', '150783621#0', '817157483#0']"
118261381#0,"[(24.46137184438079, 54.387384670220285), (24.46143089750215, 54.38736530790211), (24.46146994364434, 54.387363318614454)]","['432416069#13', '118261381#1']"
118261381#1,"[(24.461518974122914, 54.387369800452234), (24.461560342586818, 54.38738206094391), (24.461586774930726, 54.387396996286945)]","['118261381#0', '77972407#2']"
119131763#0,"[(24.450873510996082, 54.396635163240404), (24.45087074315025, 54.3966316706501), (24.450700372316415, 54.39641875303272), (24.450556293925295, 54.39624414250522)]",['119131763#1']
119131763#1,"[(24.450452037849587, 54.3961178146696), (24.450374233006762, 54.39602328280955)]","['100947954#2', '119131763#0', '24206725#0', '119131763#2']"
119131763#2,"[(24.45030675568145, 54.395941454843744), (24.450161199270052, 54.3957649038703)]","['-24206725#0', '119131763#1', '119131763#3']"
119131763#3,"[(24.450069124179393, 54.395654101731935), (24.4493558418616, 54.39474877328597), (24.44897748925404, 54.39426190332676)]","['100947929', '119131763#2', '203696370#0', '119131763#4']"
119131763#4,"[(24.448935860239647, 54.39420833520307), (24.44884171102587, 54.39408722544024)]","['119131763#3', '119131763#5']"
119131763#5,"[(24.448801559529915, 54.39403559893478), (24.448478217478527, 54.393619476874015)]","['119131763#4', '203696372#1', '-24206726', '119131763#6']"
119131763#6,"[(24.448423218553675, 54.39354952178634), (24.448029170748953, 54.393052925469625)]","['119131763#5', '24206726', '24206723', '119131763#7']"
119131763#7,"[(24.44797663314223, 54.392984399130754), (24.4478749879403, 54.39285260011954)]","['119131763#6', '24178353', '119131763#8']"
119131763#8,"[(24.447785590535652, 54.39274016947464), (24.447638793512635, 54.39255467917614)]","['119131763#7', '398394925']"
121822218#0,"[(24.450557539585215, 54.361572754736926), (24.450559145362252, 54.36153032541155)]","['473167682#3', '121822218#1']"
121822218#1,"[(24.45056392337511, 54.361483491803824), (24.450572072992586, 54.3614333343011), (24.45059374619723, 54.36137717647464)]","['121822218#0', '473167679#0']"
121822219#0,"[(24.4501731519843, 54.361769474295045), (24.450224397722806, 54.36176840660914)]","['318274914#9', '121822219#1']"
121822219#1,"[(24.450265723528354, 54.36177296831433), (24.450305513105555, 54.36178259036542)]","['121822219#0', '473167683#0']"
121822222#0,"[(24.45035322009831, 54.36117050537938), (24.450338490924324, 54.36117465752703), (24.45030072261092, 54.361177416493945)]","['473167678#17', '121822222#1']"
121822222#1,"[(24.450251917039356, 54.36117350383272), (24.45024747554109, 54.361172413253506)]","['121822222#0', '682777775#0']"
121822223#0,"[(24.449991182425947, 54.36137563353255), (24.449993498229563, 54.36141522030153)]","['682777776#2', '121822223#1']"
121822223#1,"[(24.449992239838842, 54.36146720587187), (24.449987502129026, 54.36151117918269)]","['121822223#0', '282224353#0']"
132911564#0,"[(24.464180033001682, 54.38478125708316), (24.464187747796505, 54.38477853386955), (24.464326237282037, 54.38475466853361), (24.464338996253154, 54.38475657420593)]","['24206858#0', '132911564#1']"
132911564#1,"[(24.46439057518141, 54.384764284282106), (24.464426587989564, 54.38476955505916), (24.46447097731065, 54.38479989614842), (24.46449243442984, 54.384824597531434)]","['132911564#0', '472783427', '132911564#2']"
132911564#2,"[(24.4645413089401, 54.38488462533205), (24.464584393582545, 54.38493865918025)]","['132911564#1', '118261385#1', '118261378#0', '-118261385#0']"
132912993,"[(24.47280123676631, 54.39176053782872), (24.47193223540134, 54.392339367996634)]","['482272437', '482296526']"
132913628#0,"[(24.471985975827767, 54.39252062101724), (24.47253300147992, 54.392160548366604)]","['683402237#1', '227359906', '132913628#1']"
132913628#1,"[(24.472583970398368, 54.39212771929849), (24.47289037101686, 54.39193470141278)]","['132913628#0', '688443524']"
150783617#0,"[(24.472298272855245, 54.38921336637692), (24.472285695329646, 54.3891749694868)]","['473189453#1', '150783617#1']"
150783617#1,"[(24.47226099818382, 54.38909856073421), (24.472196801410355, 54.388914393968804), (24.472124498106982, 54.38873641015523)]","['150783617#0', '227103779', '112672265#0']"
150783619#0,"[(24.472875689649236, 54.39137080851336), (24.47260405553287, 54.39154523703002)]","['150783624#2', '150783619#1']"
150783619#1,"[(24.47260343078109, 54.39154564436806), (24.472601734418127, 54.39154671479317)]","['150783619#0', '150783619#2']"
150783619#2,"[(24.472544690485673, 54.39158314549541), (24.472543127754516, 54.39158411455017)]","['150783619#1', '519903195']"
150783621#0,"[(24.471439513808466, 54.39315391070638), (24.47147972454926, 54.39314617918181), (24.471900286156536, 54.3928830901982), (24.472002700106763, 54.39283453258935), (24.4720830346612, 54.392829721275994), (24.472140157845047, 54.39285536685101)]","['112672267#1', '150783621#1']"
150783621#1,"[(24.472182377152535, 54.392880333474274), (24.47222343373916, 54.39291114227851), (24.472278406627034, 54.392984758460784)]","['150783621#0', '167735822#0']"
150783622#0,"[(24.472539956884926, 54.39268096268304), (24.472548286476876, 54.392645881698144)]","['167735819', '150783622#1']"
150783622#1,"[(24.472564046754105, 54.39259684160835), (24.472587188318062, 54.392541436686315), (24.472638088050026, 54.392457551828265), (24.472682447358512, 54.39240259699675)]","['150783622#0', '690059285']"
150783623#0,"[(24.472429212025162, 54.392670425508726), (24.47242914738044, 54.39265622646162)]","['167735819', '150783623#1']"
150783623#1,"[(24.47242914738044, 54.39265622646162), (24.47242891591928, 54.39263759323447)]","['150783623#0', '150783623#2']"
150783623#2,"[(24.472428459839268, 54.39258504150978), (24.47242834073249, 54.39256246141803)]","['150783623#1', '678661412', '304107573']"
150783624#0,"[(24.478123790282524, 54.38789525270392), (24.47773432523662, 54.38818139870981), (24.477065139513936, 54.38866996152751), (24.475954723611974, 54.38940558837755)]",['150783624#1']
150783624#1,"[(24.475780464301142, 54.3895218048991), (24.474045389914842, 54.39062586015913)]","['150783624#0', '683401694', '150783624#2', '817157484#0']"
150783624#2,"[(24.47386050429242, 54.3907435249318), (24.47299593209416, 54.39129372725779)]","['150783624#1', '227300452#0', '150783619#0']"
167469208#0,"[(24.469662728923783, 54.37032459983923), (24.469745138411856, 54.370439050051004), (24.469787413798812, 54.37051370702443), (24.46981717554812, 54.370600556007695), (24.469826874176494, 54.37066514157665)]","['473449411#6', '167469208#1']"
167469208#1,"[(24.4698284721869, 54.37071027200633), (24.469825904784255, 54.370744247400616)]","['167469208#0', '473432071#2']"
167469209#0,"[(24.470101437608545, 54.37105969643938), (24.470120523448937, 54.37105693316943), (24.470171963607644, 54.37105665310916)]","['473432076#3', '167469209#1']"
167469209#1,"[(24.470226258985143, 54.371059666484356), (24.470227980063385, 54.371060025163175)]","['167469209#0', '434371436#2']"
